Identity;Vote_account;Active_stake
5ZwufMjECbyqtafDZR7wiB1GTWmAKR3EWqf5TeUpADnx;T3HspUFX2d3avFTNqbNPUqz9R2tVLfxVFwszQ8QpdMH;708954.059
CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2;8uEgdseqbUrDLfmHbUpTHoH1LLRxeViYDk7K6NdXKRYM;693131.0474
GLh2T3KmWH4dUxGEVFuExffK4TLotmfeSCGg6fP7g78z;CertuszpSb9Qb8v5HhndmSdCC3WoKAiFoBEXmNhjJPUg;684557.6441
5C3riB5Ugmj73ta3mpSzYb2SZuoF8fcsaciZPYKCHnUp;FcZ4eXb2NKG5ybLcrY9JjioDwxAVGTnsoFRvtmEpwzGo;667693.1446
FfM4oeeszBdHJys9yPFV6hkcZB3ea5GuMYj81aVLURVK;HUAnFVknuEfzsybhCqKsLZoST3UCxppxfVKJ4mT9u4mL;665745.6902
DQSjzjN66yyNJ54JiA5B1SCJeBPgC5pNEDxRFogVXSCf;DikbGPK7vpbY17nQmwUi2D1yU5a7sDPySbX1mQSLMNxU;613509.3425
32G1W4XLPcPBw9goEg5WyYoq5LS9kK63uRVMeRsPFjDf;Eb1oa4AfSUb5bHrKnNdSkZwjoAofMcLnkF7LgYBAyfsY;602498.2659
2dfgsiSaZ51QYPsECMYMG247PXxyKdwkV9wTHoQb8YEC;NDf9Pv6TAxTDPR6ud3djsd2Ux1WS2m2YfTw4qEmSnQH;574708.511
DimAn;voteRnv6PBzmiGP8NicWtQiqEJTwKKq2SxtqtdLUJjd;573879.1699
3dvEf7UrKe4sXpdZEVPKMrfqrbmN16KoDxG8iyiaXXKk;25NKahLoee3o1z6wYU1rqf1dJgMmmfN7KBc6WmyNxt51;568607.679
NWY18yrPHsTogTDq78HpB51D7gC5AGRsvJ5pPqSchkH;H3GhqPMwvGLdxWg3QJGjXDSkFSJCsFk3Wx9XBTdYZykc;555739.6232
8aRHuHNCvdSpXRRonPuxqXctWoMXH5w8jPYdDjhVCRc;BxHHd9ndNHz7H28mJoJusg3cNpkCz1mq24Ahwi7kug18;553325.9928
646wp7gnRUojM2TSSDZJvXrxWcZ7DYAnLMD4HmrUTxGq;CQsZhwbMtNpf12Kwbu6AfR9mfJ5hgayZWQCw22Lyusfv;537107.9948
vu1sGn2f1Xim6voHNLt4nLn38zNkYdLasU7hEr1TC2D;6F5xdRXh2W3B2vhte12VG79JVUkUSLYrHydGX1SAadfZ;533064.7206
G72oBA9cRYUzR8Q9oLvJcNRx5ovcDGFvHsbZKp1BT75W;HAu1TuW2T3mBQYbQdQ7edzVhKxirqT2k7jwUcFxSJGWX;531226.1871
9fa5wcqnAQqHyn58U1vHHLuZW5GXLcoho7hKT17jGJfZ;BfxZj7ckfRGHxByn7aHgH2puyXhfjAUvULtRjJo4rd8C;528535.8138
57i31UEyDg4koaZMZ1wAHbYuezXv3AVaHtvJgJarxt3f;Ev3gPXRo6TJeQ2QhxfqWFoasdoGbmDytYvJbUabEHfLf;519736.3625
9hQqNe3DQTiwhspatewA8EXhz12e6sq5UJVJ2qNRwnTf;2Y2opv8Kq8zFATg6ipqb2AjgCf18tkv1CLMLXQGif2NH;517827.1579
8xWsmbZdGLXNsrNjrVWQX8WsrDoX1dohtM2ncK9vtUvb;5NVTnNN6huDEdoqR9J6Vi99mAEXFRNJqDiMmWuRHSPvJ;515634.9469
AoUwfPuiEek2thVRDhMP7HbQb9rguyab4rDiz2NAfwwA;8HR5rCobbFMDe5EbgKdJLNDWVCeGG79w837BUxtsCngs;514802.4083
8zu5yVC3HdaaNVU3nFhN8XWR5zRK18LHd78gL7vxX6Va;6KxQFRReTRH6gFJUs2CkSa57fobfAbQtigp1NfGXt3Qs;495431.8423
Stakin;4PsiLMyoUQ7QRn1FFiFCvej4hsUTFzfvJnyN4bj1tmSN;494583.0231
A95EBv1isSrZteiN6pq7Z19y9Bvw2fjHRtPdn4QsprDW;8oS362Q9oat7QVNKJvMm91SXJjc5vBPwW7gaEHZ9wCDd;492073.9928
CjmXSapt1ouz3CZzgkRJckBEwMSo5fVdVrizLeRscwYD;B6nDYYLc2iwYqY3zdmavMmU9GjUL2hf79MkufviM2bXv;487756.7121
Infstones;37BPVW1Ne1XHrzK15xguAS2BTdobVfThDzTE2mv8SsnJ;483165.5973
Staked;51JBzSTU5rAM8gLAVQKgp4WoZerQcSqWC7BitBzgUNAm;481558.1598
PUmpKiNnSVAZ3w4KaFX6jKSjXUNHFShGkXbERo54xjb;DsiG71AvUHUEo9rMMHqM9NAWQ6ptguRAHyot6wGzLJjx;470151.2758
FSCJwu7LdE4MUrNZmDzj83M3YLg8SMerQec1zkcW6eH4;FSCuKFHKyxh5ihDjhNLPpSzxLs1aambkoMTZ74qGPrSm;462000.9974
G3gDtuC1b5iKaoxCnVZpPuGNyVdFher1QRvD6Tfe6jRQ;7h9e8iiwMH8jDZgJyKs7tSc1vxUge9neaLq9kuMyDbdV;454760.9928
7CbxuNuAeZBeTKDVfiJxz8ZJphVSNVbS8T6n7kfuiXq1;Cfr3BXBhZXUrXCXQSA97wss7EU5RfBbjqv5wUMSyE76L;442600.9974
2ye8Kb7YSDyYNwPjXEBLLKZP5RgrPwgwa3xYvpuexNE2;A4gJW6Tedgp443KsLRMSJfTpnXpM3FiYsTqeqUte2wHV;439955.9918
01node;BH7asDZbKkTmT3UWiNfmMVRgQEEpXoVThGPmQfgWwDhg;409858.5267
c3rtoMCHSbFrLRTAdw4iRowKSn4BrDtvSPbuyJwkHwx;AuBB9st3RqhHBkzZgBSm6SVnHZNJQSHeBWCSkik4bzdA;409563.7725
HPCSEfKwYbekXPCjJyiNtFAzEmRPVr4Z6kGtaTegRsi8;AqCAXRpWJBpaJxEDyv7ruP2wi6fef6DBTaAHSxdTf7hA;401547.5151
CMPSSdrTnRQBiBGTyFpdCc3VMNuLWYWaSkE8Zh5z6gbd;EARNynHRWg6GfyJCmrrizcZxARB3HVzcaasvNa8kBS72;397492.4296
4BLOCK.TEAM;6anBvYWGwkkZPAaPF6BmzF6LUPfP2HFVhQUAWckKH9LZ;395150.9894
RNXnAJV1DeBt6Lytjz4wYzvS3d6bhsfidS5Np4ovwZz;RNXpSdqrJL6eoLrbW69Q9qsFviEwRpfFfk3HiRRRohq;395115.1906
GoeW4aFK4dGoekJySgUynWDxBZiQJqm8GDAF4H53tDK9;Ak5BJzQe2R8qFuyYmaAFPjXuD7XPux3ZNTv52D7rfiqR;389716.6307
Rustiq Technology;GB44NXtM7zGm6QnzQjzHZcRKSswkJbox8aJsKiXGbFJr;367357.7613
Forbole;76nwV8zz8tLz97SBRXH6uwHvgHXtqJDLQfF66jZhQ857;367255.1809
F5nJ14meeAHx97xBSrmNxJz7sk1vNKDuThiPS8hy81Qz;7yqcFMzstE4nQK4VbPv4w2GSZ2Cod7k9juCk8AdgDA27;367198.4905
2oHUYyW2PU9VJh4XBs5TbGgzdernunvGqyKth3kxW4ns;6tgtejPHUHR1pECzXqQT8EHZqnKCWZFSqdZXDyBaKe3b;366262.3566
HNq5uwktQcNFuuFYKoN1hYKVDuBZ6p8VZdfBjG1AVMso;H4QJ482BZtUr8DC7Y2idqcvE76uwrjnTfULCXZDkmEzM;356207.9067
CVvaeDPR2o7P1eawG5c9TPFLzSXAewwPovPmREaEL4Cm;DMSuZcavta8L1w1tSiH8bALWjz6Q6KSryGG6m6Az4Qt5;346843.962
akb7XJkB8rgvDixC25gxpGisNS1aAQbk6HZkR9X1jrX;1234LB7uvDC23rdCQoK8C3jNwnovUNyeKxz8wC3dghJ5;330098.3018
Dsx767ApcHX689ViFHTUMeJ7V6vLaNH29JSk8jv6Q5mS;EPWrFd8jJ4SLA1YtcZcRAsAMxmnikSVqbumerCq5yV6z;317013.9611
Agnostic Staking;9c5bpzVRbfsYY2fannb4hyX5CJUPg3BfH2cL6sR7kJM4;314072.8565
5Xw375deW9dr7U4Zas3MC1rLAT32Dazv3K12EbnWkf8f;EPAcaDyxhXaVszV9JDeGBDmNZPEMuwAn3iHo3juB5piD;311646.9973
73hojLdq1vZDSxeVQEqVFJ4iwLngdvEJPEpEHkSdv6BZ;Ehdn9LdjTAURQSMoDPERXLehtvzy7QD762wwPkzGT7RS;306987.3203
Chainflow;CAf8jfgqhia5VNrEF4A7Y9VLD3numMq9DVSceq7cPhNY;300556.693
miPool;Bwkz1ddKoGE8hgiSV6HZLXi9RBLqfBi3HZb2QujzVGgz;300059.8973
SyncNode;7PmWxxiTneGteGxEYvzj5pGDVMQ4nuN9DfUypEXmaA8o;293674.4331
A1GgCvSs374GeXguQk1u91sWSLZqGVUsfJ4B4KrKjEhp;EXrWdDxFaE3Sfsbh3TV5ToGhMqu53xrmeoVdvn467jUH;276365.8129
ChainLayer;8jxSHbS4qAnh5yueFp4D9ABXubKqMwXqF3HtdzQGuphp;271556.2598
D91hS1rccFa5idPr9TpWmhPxfyJCtzHaet2juYzQNrPC;G8fLwPKzRD8HtStVtos65Cmiy6Jjs8Y4dNFRFcdSUhVj;266567.8104
FSVdqBzx5D4UsqBLnvmH5dFx2dCm1pTPAbQWJ1PYzTJ2;2EWi8L6xp62VgTqFo3LnhoSP5sL9CWqYxvK7UA63qK9x;260245.2222
Ubik Capital;9sWYTuuR4s12Q4SuSfo5CfWaFggQwA6Z8pf8dWowN5rk;247053.2771
joogh validator - 0% fee - top 10 by returns - high uptime;DPmsofVJ1UMRZADgwYAHotJnazMwohHzRHSoomL6Qcao;243888.0353
6WgdYhhGE53WrZ7ywJA15hBVkw7CRbQ8yDBBTwmBtAHN;6aow5rTURdbhbeMDrFrbP2GR5vZjMEhktEy87iH1VGPs;243317.9423
2abwQG3v2xRemFxRszVHSfnjJNe9zu5X8duKgxjyLeaK;EogKVYgic8LKAuV1kR9nRqJaS5zpwCvSMfqoehzmAMpK;241427.0651
Staking Fund;SFund7s2YPS7iCu7W2TobbuQEpVEAv9ZU7zHKiN1Gow;235469.7939
StepLJgojR54f8M4nfr5uxjBBMddWjEwnKs4TnrnmRd;StepeLdhJ2znRjHcZdjwMWsC4nTRURNKQY8Nca82LJp;229581.4113
