Node;Stake;;;247424142.6
(Genesis Entities) / 031;495000;;;
NodeID-Lai2VTTYk897ae9uq6cGk9FbhKD1KHvFS;487950;;;
(Genesis Entities) / 024;486884.35;;;
NodeID-HoC4UxP4UuJyda7MZs5jUkZRk8Rfj3pzD;482547.72;;;
(Genesis Entities) / 001;475514.97;;;
NodeID-BjoNuhod6yNfMJJDJgyfNWWRBUG38ZPCs;471562.23;;;
NodeID-EvdPJG2AAVGCP2s3543KDx1LZ1g5SiH2Y;463443.76;;;
NodeID-7wyu3EXASVzsJpRPoqhssRWdmTWa6Fycd;441404.39;;;
NodeID-AbfdkS6u8F8kxh2pPuK32KASNK4sSr4QR;435547.64;;;
NodeID-MyeSQZnEZDzTfFFQvxZ5qqfqVDwg15NPB;423419.76;;;
NodeID-MikkG849wcdpBdeUJ2HTV2gTEDfeXWseg;421814.48;;;
NodeID-2HvkjoRiMzEcZgpWKNAruLKNv9r7Lb2pv;408099.16;;;
NodeID-5HkCsXm4TQUb9uXxM6Cjy1WzvuDSspPui;405025;;;
(Genesis Entities) / 055;400912.13;;;
NodeID-HdG8EdGWAy8LR8YPA8hndoa1uwwgGv1si;397639.05;;;
NodeID-GqAFdJgTYtJnC5BzuGVE1qqwh69opFzyf;390752.26;;;
NodeID-CZRwtJDY1KeQspzxqmHfSdwvhA8xAeV9K;388882.58;;;
(Genesis Entities) / 003;385917.41;;;
NodeID-F6QBpEsQZXXqtW8PxZRm3Znx4fVaAr5Sf;378010;;;
NodeID-NNyxDSovcVYmXHacSM8aK2pg67oPjkRrE;352424.1;;;
NodeID-EvZXX2K2eVEV7n6Y8cnmeSRgj4JhkCVad;349670.11;;;
NodeID-7LvgVzHX6jsppFQggdZmcgcvbp3pRm3ue;347871.42;;;
NodeID-KCX4L5dr83TbmBnE4UeFtzGeE2NSLskt8;341991.87;;;
NodeID-5eogZcASu4bDhWxMuUF6h7VFK5SCt3msp;334125;;;
NodeID-KtJLagoYnWfw2oBnRki63NcguiGjuA2Cr;329237.63;;;
(Genesis Entities) / 012;328316.94;;;
NodeID-KvBcQpCDXbb3w8x7ktMhsx6rCq8eSYcd3;323382.54;;;
OmgSuperKrog / Ultimate Validator;313520.89;;;
NodeID-5QV9Tg6tKyGVWcEQM7vmAvac5w3f9wtp9;307237.34;;;
(Genesis Entities) / 063;296326.54;;;
NodeID-PfY5X2GWsSaj8y6usEji4HZmokHHdWsqi;293164.91;;;
NodeID-34QP8d17f1XjB778dCTCsBfjL3T4PeMAf;280902.92;;;
NodeID-FEtgjYGndfWGzLZELTJJoikpSobjVKTjk;279098.57;;;
NodeID-Dy47rtrYr4eiyRTSnbaFi8KZVnR56XrUC;270417.67;;;
NodeID-G7kG9MRuLaJuMLopdfnWEKUPQp54qc2T3;268728.47;;;
NodeID-3YkLrm1D9MqZ6K4YTwaQkt1NBb6wP9Ldx;264000;;;
