Pools;Stake;Share
Single 824;3045685;0.01
Single 825;3045685;0.01
Single 826;3045685;0.01
Single 827;3045685;0.01
Single 828;3045685;0.01
Single 829;3045685;0.01
Single 830;3045685;0.01
Single 831;3045685;0.01
Single 832;3045685;0.01
Single 833;3045685;0.01
Single 834;3045685;0.01
Single 835;3045685;0.01
Single 836;3045685;0.01
Single 837;3045685;0.01
Single 838;3045685;0.01
Single 839;3045685;0.01
Single 840;3045685;0.01
Single 841;3045685;0.01
Single 842;3045685;0.01
Single 843;3045685;0.01
Single 844;3045685;0.01
Single 845;3045685;0.01
Single 846;3045685;0.01
Single 847;3045685;0.01
Single 848;3045685;0.01
Single 849;3045685;0.01
Single 850;3045685;0.01
Single 851;3045685;0.01
Single 852;3045685;0.01
Single 853;3045685;0.01
Single 854;3045685;0.01
Single 855;3045685;0.01
Single 856;3045685;0.01
Single 857;3045685;0.01
Single 858;3045685;0.01
Single 859;3045685;0.01
Single 860;3045685;0.01
Single 861;3045685;0.01
Single 862;3045685;0.01
Single 863;3045685;0.01
Single 864;3045685;0.01
Single 865;3045685;0.01
Single 866;3045685;0.01
Single 867;3045685;0.01
Single 868;3045685;0.01
Single 869;3045685;0.01
Single 870;3045685;0.01
Single 871;3045685;0.01
Single 872;3045685;0.01
Single 873;3045685;0.01
Single 874;3045685;0.01
Single 875;3045685;0.01
Single 876;3045685;0.01
Single 877;3045685;0.01
Single 878;3045685;0.01
Single 879;3045685;0.01
Single 880;3045685;0.01
Single 881;3045685;0.01
Single 882;3045685;0.01
Single 883;3045685;0.01
Single 884;3045685;0.01
Single 885;3045685;0.01
Single 886;3045685;0.01
Single 887;3045685;0.01
Single 888;3045685;0.01
Single 889;3045685;0.01
Single 890;3045685;0.01
Single 891;3045685;0.01
Single 892;3045685;0.01
Single 893;3045685;0.01
Single 894;3045685;0.01
Single 895;3045685;0.01
Single 896;3045685;0.01
Single 897;3045685;0.01
Single 898;3045685;0.01
Single 899;3045685;0.01
Single 900;3045685;0.01
Single 901;3045685;0.01
Single 902;3045685;0.01
Single 903;3045685;0.01
Single 904;3045685;0.01
Single 905;3045685;0.01
Single 906;3045685;0.01
Single 907;3045685;0.01
Single 908;3045685;0.01
Single 909;3045685;0.01
Single 910;3045685;0.01
Single 911;3045685;0.01
Single 912;3045685;0.01
Single 913;3045685;0.01
Single 914;3045685;0.01
Single 915;3045685;0.01
Single 916;3045685;0.01
Single 917;3045685;0.01
Single 918;3045685;0.01
Single 919;3045685;0.01
Single 920;3045685;0.01
Single 921;3045685;0.01
Single 922;3045685;0.01
